class_id,fk_org_id,title,description,isactive,color
1,1,COMPETITION KICKBOXING 1,COMPETITION KICKBOXING 1,1,33CCFF
2,1,COMPETITION KICKBOXING 2,COMPETITION KICKBOXING 2,1,33CCFF
3,1,COMPETITION GRAPPLING 1,COMPETITION GRAPPLING 1,1,66FF33
4,1,COMPETITION GRAPPLING 2,COMPETITION GRAPPLING 2,1,66FF33
5,1,COMPETITION KICKBOXING & GRAPPLING 2,COMPETITION KICKBOXING & GRAPPLING 2,1,996633
6,1,COMPETITION KICKBOXING & GRAPPLING 3,COMPETITION KICKBOXING & GRAPPLING 3,1,996633
7,1,ADULT SPARRING,ADULT SPARRING,1,FF0000
8,1,BAG TRAINING,BAG TRAINING,1,000000
9,1,CUBS,CUBS,1,FFFFFF
10,1,CORE CHILDREN/KIDS,CORE CHILDREN/KIDS,1,FFFF00
11,1,GRAPPLING CHILDREN/KIDS,GRAPPLING CHILDREN/KIDS,1,66FF33
12,1,KICKBOXING CHILDREN/KIDS,KICKBOXING CHILDREN/KIDS,1,33CCFF
13,1,CORE CHILDREN,CORE CHILDREN,1,FFFF00
14,1,CORE KIDS,CORE KIDS,1,FFFF00
15,1,BEGINNER KICKBOXING ADULTS,BEGINNER KICKBOXING ADULTS,1,FFFF00
16,1,KICKBOXING CHILDREN,KICKBOXING CHILDREN,1,33CCFF
17,1,KICKBOXING KIDS,KICKBOXING KIDS,1,33CCFF
18,1,INT/ADV KICKBOXING ADULTS,INT/ADV KICKBOXING ADULTS,1,0000FF
19,1,GRAPPLING CHILDREN,GRAPPLING CHILDREN,1,66FF33
20,1,GRAPPLING KIDS,GRAPPLING KIDS,1,66FF33
21,1,GRAPPLING ADULTS,GRAPPLING ADULTS,1,66FF33
22,1,BEGINNER GRAPPLING ADULTS,BEGINNER GRAPPLING ADULTS,1,66FF33
23,1,INT/ADV GRAPPLING ADULTS,INT/ADV GRAPPLING ADULTS,1,006600
24,1,ADVANCED 2,ADVANCED 2,1,FF9900
25,1,ADVANCED 1,ADVANCED 1,1,FF9900
26,1,MINI CAMP 6,MINI CAMP 6,1,FF00FF
27,1,MINI CAMP 5,MINI CAMP 5,1,FF00FF
28,1,MINI CAMP 4,MINI CAMP 4,1,FF00FF
29,1,LEGACY CORE,LEGACY CORE,1,FF00FF
30,1,LEGACY GR,LEGACY GR,1,FF00FF
31,1,LEGACY KB,LEGACY KB,1,FF00FF
,,,,,
,,These are all current classes being used by the organization.,,,
